asset,equal_weight_risk_contribution,minimum_variance_risk_contribution,maximum_sharpe_risk_contribution
US Equities,0.11337201181320612,0.24783729628876702,0.0
US Technology,0.13499801048562363,0.0,0.3181886894600447
European Equities,0.11210367030952877,0.01710485041265758,1.0362467759778699e-16
Emerging Markets,0.11708811536305111,0.0064668384954353385,0.0
US Treasuries,0.0011530591148631037,0.3993027523302505,6.092755205202845e-18
Gold,0.03712360621868951,0.2884167176926094,0.509344997848153
Oil,0.14647339624437725,0.04087154478028018,5.788073586876737e-17
Bitcoin,0.3376881304506606,1.62419946740053e-17,0.17246631269180202
