asset,observations,annualised_mean_return,annualised_volatility,worst_daily_return,best_daily_return
Bitcoin,2010,0.4332492917649295,0.6465192033965583,-0.37169538560117077,0.225129312624738
Oil,2010,0.03745791437940417,0.3930450861604064,-0.2531500202969871,0.16666666666666674
US Technology,2010,0.20544352456050746,0.2405116027729392,-0.11978781874635291,0.1200307358867525
Emerging Markets,2010,0.061324680724673654,0.20924710422683687,-0.12479247369657309,0.08052886655236424
European Equities,2010,0.09506853197051304,0.19586626998284992,-0.11778142983411677,0.09056639436557079
US Equities,2010,0.1514065551567557,0.19459522407088384,-0.10942377331329411,0.10501925332407813
US Treasuries,2010,-0.005555841601551652,0.15750276371686098,-0.06668261216698224,0.07519530645707806
Gold,2010,0.1560233475126782,0.1513524434824402,-0.06426889260666147,0.048530353360380474
