asset,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,historical_var_95,historical_es_95,historical_var_99
Bitcoin,0.24765898404269482,0.6465192033965579,0.3521302736974617,-0.8139656981966634,0.059552736866738516,0.09398852408580965,0.11477979112058091
Oil,-0.040978955621900015,0.39304508616040656,-0.15514493825019798,-0.8675373056873743,0.035687746913828436,0.06009179271603038,0.07111855041680247
US Technology,0.19293371776769508,0.24051169268777725,0.7190241598448637,-0.3511873782139808,0.02471775007515542,0.035748183399105744,0.04094825432686764
Emerging Markets,0.04009817114239311,0.20924719698084127,0.09604989425131132,-0.39822319936678263,0.019572775581368013,0.029901393255421637,0.03443990781003887
European Equities,0.07867367822797333,0.19586627843892573,0.2995598767465668,-0.37235638907996305,0.017151167691066956,0.028801784628652207,0.032790055404437114
US Equities,0.14155430870840613,0.19459525155389717,0.6246519775675983,-0.33717264353564524,0.017978668378346645,0.02972261809731362,0.034148912996516914
US Treasuries,-0.01778504838416095,0.1575026533733922,-0.23990102753750936,-0.4835111273010394,0.015577702443417834,0.02146186876365331,0.023477798096708732
Gold,0.1554796833189367,0.15135244348244034,0.8951271628109184,-0.22002168134715383,0.015331410727204247,0.02181287534817961,0.024655727998977143
