asset,annualised_alpha,beta_to_spy,r_squared
US Equities,-1.0672615135404184e-17,1.0,1.0
US Technology,0.029997819517140683,1.158772186988357,0.8789990684596738
European Equities,-0.03079351558818256,0.8312853259780386,0.6820956461306618
Emerging Markets,-0.06224230031013114,0.8161270224190232,0.5760510294663884
US Treasuries,0.012949014916737325,-0.12221965224114877,0.02280184998875756
Gold,0.14474988346286138,0.07445822961988079,0.009164544676000586
Oil,-0.055000553194953096,0.6106635705345268,0.09140788022003465
Bitcoin,0.2899008091601332,0.9467785754479602,0.0812079111638091
