annual_return,annual_volatility,sharpe_ratio
0.21796665325957598,0.24759312953687204,0.7995644048357748
0.09028071787806888,0.14913668373230726,0.4712503732764983
0.13064106223602023,0.15762754185787758,0.7019145317623364
0.11476649406626592,0.1650941433380707,0.5740148750898346
0.13167916527158677,0.1866175807248642,0.598438608183645
0.14114636068921402,0.1758300459172241,0.6889969234623664
0.14207256994055908,0.16974433913569692,0.7191554697030097
0.1039262818726624,0.22250082152756764,0.3771953797584698
0.12800473960808226,0.14136380386325442,0.7640197607625115
0.09744698212312698,0.1473193537492219,0.5257081310237287
0.1674413173631277,0.20003211429083084,0.7370882314864688
0.11864808798233845,0.15418389350495523,0.639807996411558
0.20052353753859403,0.19625223257471436,0.9198546950026043
0.12010143824028537,0.17487069961427024,0.5724311646324347
0.11514388389241578,0.16845793952637822,0.564793111918109
0.19788187686639833,0.22898200507180483,0.7768377991563906
0.10452059500237554,0.247599375350676,0.34136029173203153
0.07840793388879803,0.13308431763342446,0.4388791626800116
0.08894411242802396,0.2308109010300868,0.2987038832235957
0.14508296668209192,0.16908952756117285,0.7397440189596584
0.14021441553496078,0.1463122532431962,0.821629172336945
0.10649604929155224,0.16309786980854057,0.5303321827139087
0.16053210162533763,0.22965003100401096,0.6119402684639009
0.20661998312157295,0.25500461560734927,0.7318298246370821
0.1494378286135244,0.16782265637222463,0.7712774390034439
0.14041348921528823,0.19696192047803562,0.6113541588294792
0.07679665416578331,0.1586630468138201,0.3579702728917728
0.12329349469007715,0.15269669657174345,0.676461881685472
0.09635521159396916,0.14283290278165797,0.5345771884975958
0.10687639598960537,0.18368201580835922,0.47297170388333515
0.2090926861723417,0.21672793472917906,0.8724887560462842
0.14618033373597616,0.15988023760075556,0.7892178272280718
0.1573820605623356,0.13198420454227916,1.0408977425653032
0.16219557916184715,0.20461744656012446,0.6949337974465665
0.15956575305208073,0.17509084256744642,0.7971048114541963
0.15151483260931076,0.17963965562020098,0.732103566750111
0.14369152685403183,0.15884500111627797,0.7786932291529084
0.17791413259290353,0.20268566882844544,0.779108525559166
0.13242038846637444,0.16119125956264557,0.6974347664470184
0.1445487980721297,0.18399792752278987,0.6769032659713146
0.1173945972693564,0.13188063484751864,0.7385056750899384
0.10592347923274938,0.18377582404738757,0.4675450630034642
0.16072733946178897,0.1663070339830149,0.8461899421293364
0.2102383790467861,0.23946547728874226,0.794429248009728
0.12735392112099897,0.22181089314670463,0.483988498481883
0.13463293683803035,0.19858169009607235,0.5772583402959849
0.19188450705711013,0.16964879424273765,1.0131784774796193
0.1924357857505332,0.2254126663329392,0.764978244371778
0.10531694446764682,0.19242933513040922,0.4433676622632801
0.1272946466502405,0.17042140792563854,0.6295843225110388
0.12966620700557233,0.1468979434024158,0.7465469186668601
0.08932800937753242,0.13144525777399182,0.5274287604710368
0.1200320728935694,0.13617505716025727,0.7345844017223133
0.17436071317959834,0.23316960147955063,0.6620104516202814
0.10985479832869932,0.15595468985012942,0.5761596423618213
0.14012657345337007,0.17428568659497154,0.6892509407989212
0.14361063078747582,0.14416999216965118,0.8573950024358589
0.1738493976564211,0.2196308823860748,0.700490732382431
0.21095362592521133,0.22421137562119253,0.85166787544192
0.10816065648604035,0.19729237313454184,0.4468528361505386
0.13802849917028218,0.13234653287044765,0.8918140627516006
0.1513815576722685,0.18537932630404738,0.7087174189897789
0.12502547120702906,0.18009127521618531,0.5831791189270791
0.08907449563652418,0.12617096135018246,0.5474674592104491
0.11521834317603644,0.1982081957166618,0.48039559026182177
0.09245599777200564,0.14359332855982573,0.5045916721807732
0.1091056013756752,0.16046821919874288,0.5552850391223962
0.12422199200061303,0.13999051454645176,0.7444932418333958
0.18654254988838692,0.212985179716544,0.7819443123227341
0.1470122714656702,0.20733410989449136,0.6125970855943795
0.1626457617331196,0.1646181562170207,0.8665250845421069
0.18500300509010406,0.23301111013550427,0.7081336378945576
0.15490106847106389,0.1352559525485486,0.9973762036287658
0.23517565647333985,0.2742767025113608,0.7845203566439518
0.08306363937302064,0.141421725134023,0.4459261072742273
0.18832553363135768,0.1912337740374507,0.8802081874846713
0.17759655310664188,0.2439978608619015,0.645893175251396
0.1320807717486982,0.19124947172613552,0.5860448697562682
0.20031631380962858,0.2653584114789482,0.6795198720276245
0.14164624469897885,0.16284976846675617,0.7469844498047995
0.18458466803680734,0.19367113813309986,0.849815153787639
0.11914352234660815,0.13149217931924184,0.7539879775351782
0.12944219228517842,0.12916616356443097,0.8472976920970963
0.30264487188848815,0.4106661644154849,0.6882594583626975
0.13387887405277998,0.22600407328676098,0.5038797416199085
0.08705979015346177,0.11936298619690118,0.5618139449262767
0.1688005917599622,0.1947854876490332,0.7639203184791307
0.10829413111056733,0.1516991244016268,0.5820345467308476
0.16368699037433931,0.18808701576293346,0.7639389130158972
0.13820919392738293,0.14514790918316314,0.814405075433873
0.17283460183955401,0.17920429757904566,0.85285120895128
