portfolio,expected_annual_return,annualised_volatility,sharpe_ratio,historical_max_drawdown,historical_var_95,historical_es_95
Equal Weight,0.14180225055848877,0.16656208811332673,0.7312723557813232,-0.29805975428398346,0.014946735010058606,0.024854953597726243
Minimum Variance,0.09232132630224045,0.10058976945145175,0.7189729800220422,-0.21575966847863093,0.009904388568885071,0.014199764064885661
Maximum Sharpe,0.1897919711606015,0.1583636995736821,1.0721647171522548,-0.2916372082516867,0.01465637269759678,0.02279221046568793
