metric,daily_loss_fraction,daily_loss_percent
Historical VaR 95%,0.014946735010058606,1.4946735010058605
Historical ES 95%,0.024854953597726243,2.4854953597726244
Historical VaR 99%,0.02866797450650053,2.8667974506500533
Parametric Gaussian VaR 95%,0.016695796482381623,1.6695796482381624
Monte Carlo VaR 95%,0.0167463799334445,1.6746379933444502
Monte Carlo VaR 99%,0.02384237123264831,2.384237123264831
