asset,equal_weight,minimum_variance,maximum_sharpe
US Equities,0.125,0.24785467267639721,0.0
US Technology,0.125,0.0,0.29191254111381065
European Equities,0.125,0.017059120990510983,1.2881562781866013e-16
Emerging Markets,0.125,0.006494437336116717,0.0
US Treasuries,0.125,0.40047114196434624,5.015500439266944e-17
Gold,0.125,0.28724512647686096,0.6370870129237951
Oil,0.125,0.040875500555767955,1.0539753727639269e-16
Bitcoin,0.125,1.276747208191023e-17,0.07100044596239469
